QUOTE_UNIXTIME,QUOTE_READTIME,QUOTE_DATE,QUOTE_TIME_HOURS,UNDERLYING_LAST,EXPIRE_DATE,EXPIRE_UNIX,DTE,C_DELTA,C_GAMMA,C_VEGA,C_THETA,C_RHO,C_IV,C_VOLUME,C_LAST,C_SIZE,C_BID,C_ASK,STRIKE,P_BID,P_ASK,P_SIZE,P_LAST,P_DELTA,P_GAMMA,P_VEGA,P_THETA,P_RHO,P_IV,P_VOLUME,STRIKE_DISTANCE,STRIKE_DISTANCE_PCT
1635883200, 2021-11-02 16:00, 2021-11-02,16.0,264.03, 2021-11-05,1636142400,3.0, 1.000000, 0.000000, 0.000000, -0.000280, 0.021380, , 0.000000, 53.290000, 31 x 30, 58.700000, 59.350000,205.0, 0.010000, 0.020000, 31 x 2, 0.020000, -0.002450, 0.000300, 0.002180, -0.012940, 0.000000, 0.891390, 7.000000,59.0,0.224
1635883200, 2021-11-02 16:00, 2021-11-02,16.0,264.03, 2021-11-05,1636142400,3.0, 1.000000, 0.000000, 0.000000, 0.000000, 0.021500, , 7.000000, 58.400000, 31 x 19, 55.600000, 57.000000,207.5, 0.010000, 0.030000, 87 x 28, 0.030000, -0.002710, 0.000410, 0.002080, -0.016150, -0.000210, 0.874710, 26.000000,56.5,0.214
1635883200, 2021-11-02 16:00, 2021-11-02,16.0,264.03, 2021-11-05,1636142400,3.0, 1.000000, 0.000000, 0.000000, 0.000000, 0.021130, , 116.000000, 53.640000, 32 x 39, 53.650000, 54.400000,210.0, 0.010000, 0.030000, 49 x 4, 0.030000, -0.002530, 0.000390, 0.002170, -0.016340, 0.000000, 0.834540, 23.000000,54.0,0.205
1635883200, 2021-11-02 16:00, 2021-11-02,16.0,264.03, 2021-11-05,1636142400,3.0, 1.000000, 0.000000, 0.000000, -0.000070, 0.022120, , 5.000000, 52.500000, 38 x 46, 51.200000, 51.850000,212.5, 0.020000, 0.030000, 24 x 1, 0.020000, -0.003540, 0.000460, 0.003260, -0.020330, -0.000450, 0.814290, 11.000000,51.5,0.195
1635883200, 2021-11-02 16:00, 2021-11-02,16.0,264.03, 2021-11-05,1636142400,3.0, 1.000000, 0.000000, 0.000000, 0.000000, 0.022030, , 50.000000, 49.720000, 18 x 19, 48.850000, 49.200000,215.0, 0.020000, 0.040000, 16 x 20, 0.030000, -0.004880, 0.000590, 0.003290, -0.024270, 0.000000, 0.789340, 33.000000,49.0,0.186
1635883200, 2021-11-02 16:00, 2021-11-02,16.0,264.03, 2021-11-05,1636142400,3.0, 0.996870, 0.000550, 0.002890, -0.016090, 0.022560, 0.716250, 6.000000, 45.100000, 30 x 28, 46.300000, 46.800000,217.5, 0.030000, 0.050000, 16 x 82, 0.040000, -0.006100, 0.000830, 0.004650, -0.031380, 0.000000, 0.774760, 1.000000,46.5,0.176
1635883200, 2021-11-02 16:00, 2021-11-02,16.0,264.03, 2021-11-05,1636142400,3.0, 0.996780, 0.000620, 0.002720, -0.016500, 0.021910, 0.678540, 34.000000, 43.760000, 30 x 3, 43.800000, 44.300000,220.0, 0.040000, 0.050000, 6 x 240, 0.020000, -0.006640, 0.001000, 0.004720, -0.035030, -0.000380, 0.744390, 358.000000,44.0,0.167
1635883200, 2021-11-02 16:00, 2021-11-02,16.0,264.03, 2021-11-05,1636142400,3.0, 1.000000, 0.000000, 0.000000, -0.000180, 0.022870, , 30.000000, 41.090000, 32 x 18, 41.250000, 41.800000,222.5, 0.040000, 0.050000, 41 x 16, 0.040000, -0.007370, 0.001070, 0.005420, -0.034500, -0.000190, 0.702360, 35.000000,41.5,0.157
1635883200, 2021-11-02 16:00, 2021-11-02,16.0,264.03, 2021-11-05,1636142400,3.0, 0.996020, 0.000690, 0.003410, -0.016000, 0.022720, 0.602710, 39.000000, 38.760000, 31 x 18, 38.800000, 39.300000,225.0, 0.050000, 0.060000, 46 x 16, 0.060000, -0.008700, 0.001300, 0.006180, -0.040870, -0.000460, 0.677390, 87.000000,39.0,0.148
1635883200, 2021-11-02 16:00, 2021-11-02,16.0,264.03, 2021-11-05,1636142400,3.0, 0.995410, 0.000800, 0.003210, -0.015710, 0.022980, 0.564740, 6.000000, 35.200000, 18 x 18, 36.300000, 36.800000,227.5, 0.060000, 0.070000, 53 x 21, 0.060000, -0.011100, 0.001680, 0.007620, -0.047390, -0.000500, 0.650310, 38.000000,36.5,0.138
