[QUOTE_UNIXTIME],[QUOTE_READTIME],[QUOTE_DATE],[QUOTE_TIME_HOURS],[UNDERLYING_LAST],[EXPIRE_DATE],[EXPIRE_UNIX],[DTE],[C_DELTA],[C_GAMMA],[C_VEGA],[C_THETA],[C_RHO],[C_IV],[C_VOLUME],[C_LAST],[C_SIZE],[C_BID],[C_ASK],[STRIKE],[P_BID],[P_ASK],[P_SIZE],[P_LAST],[P_DELTA],[P_GAMMA],[P_VEGA],[P_THETA],[P_RHO],[P_IV],[P_VOLUME],[STRIKE_DISTANCE],[STRIKE_DISTANCE_PCT]
1662062400, 2022-09-01 16:00, 2022-09-01,16.0,396.39, 2022-09-02,1662148800,1.0,1.0,0.0,0.0,0.0,0.0, , ,0.0, 500 x 500,43.12,43.58,353.0,0.01,0.01, 0 x 13028,0.01,-0.00249,0.00045,0.00203,-0.01,0.0, 0.569230, 41.000000,43.4,0.109
1662062400, 2022-09-01 16:00, 2022-09-01,16.0,396.39, 2022-09-02,1662148800,1.0,1.0,0.0,0.0,0.0,0.0, , 1.000000,40.19, 500 x 500,42.12,42.58,354.0,0.01,0.01, 0 x 10880,0.01,-0.00173,0.00047,0.0021,-0.00968,0.0, 0.555630, 110.000000,42.4,0.107
1662062400, 2022-09-01 16:00, 2022-09-01,16.0,396.39, 2022-09-02,1662148800,1.0,1.0,0.0,0.0,0.0,0.0, , 0.000000,45.3, 500 x 500,41.12,41.58,355.0,0.01,0.01, 0 x 11256,0.01,-0.00261,0.00052,0.00151,-0.00978,0.0, 0.544450, 374.000000,41.4,0.104
1662062400, 2022-09-01 16:00, 2022-09-01,16.0,396.39, 2022-09-02,1662148800,1.0,1.0,0.0,0.0,0.0,0.0, , 0.000000,60.61, 500 x 500,40.12,40.58,356.0,0.01,0.01, 0 x 11240,0.01,-0.00272,0.00051,0.00149,-0.00971,0.0, 0.531780, 2.000000,40.4,0.102
1662062400, 2022-09-01 16:00, 2022-09-01,16.0,396.39, 2022-09-02,1662148800,1.0,1.0,0.0,0.0,0.0,0.0, , ,0.0, 500 x 500,39.12,39.58,357.0,0.01,0.01, 0 x 10445,0.01,-0.00285,0.00051,0.00159,-0.00977,-0.00035, 0.518570, 1.000000,39.4,0.099
1662062400, 2022-09-01 16:00, 2022-09-01,16.0,396.39, 2022-09-02,1662148800,1.0,1.0,0.0,0.0,0.0,0.0, , 0.000000,57.18, 500 x 500,38.12,38.59,358.0,0.01,0.01, 0 x 9736,0.01,-0.00253,0.00056,0.00208,-0.01047,-7e-05, 0.505050, 85.000000,38.4,0.097
1662062400, 2022-09-01 16:00, 2022-09-01,16.0,396.39, 2022-09-02,1662148800,1.0,1.0,0.0,0.0,0.0,0.0, , ,0.0, 500 x 500,37.12,37.59,359.0,0.01,0.01, 0 x 8136,0.01,-0.00229,0.00061,0.00176,-0.01016,0.0, 0.491950, 2.000000,37.4,0.094
1662062400, 2022-09-01 16:00, 2022-09-01,16.0,396.39, 2022-09-02,1662148800,1.0,1.0,0.0,0.0,0.0,0.0, , 0.000000,38.31, 500 x 500,36.12,36.59,360.0,0.01,0.02, 2183 x 12203,0.02,-0.00316,0.00082,0.00317,-0.01541,0.0, 0.498900, 266.000000,36.4,0.092
1662062400, 2022-09-01 16:00, 2022-09-01,16.0,396.39, 2022-09-02,1662148800,1.0,1.0,0.0,0.0,0.0,0.0, , ,0.0, 500 x 500,35.12,35.59,361.0,0.01,0.02, 2201 x 12113,0.02,-0.00316,0.0008,0.00291,-0.0149,-0.00032, 0.485200, 2.000000,35.4,0.089
1662062400, 2022-09-01 16:00, 2022-09-01,16.0,396.39, 2022-09-02,1662148800,1.0,1.0,0.0,0.0,0.0,0.0, , ,0.0, 500 x 500,34.12,34.59,362.0,0.01,0.01, 0 x 2095,0.02,-0.00285,0.00064,0.00226,-0.01043,0.0, 0.453300, 5.000000,34.4,0.087
